.1.3.6.1.4.1.2636.1.1.3.3.3.5.10	jnxM160QuadE1
.1.3.6.1.4.1.2636.1.1.3.3.3.5.17	jnxM160DecaChE1
.1.3.6.1.4.1.2636.1.1.3.3.3.5.16	jnxM160ChStm1
.1.3.6.1.4.1.2636.1.1.3.3.3.5.15	jnxM160GigEtherBundle
.1.3.6.1.4.1.2636.1.1.3.3.12.1.122	jnxPicJseriesE3
.1.3.6.1.4.1.2636.1.1.3.3.3.5.14	jnxM160QuadAtmT3
.1.3.6.1.4.1.2636.1.1.3.3.3.5.24	jnxM160DualAtmIIOc3
.1.3.6.1.4.1.2636.1.1.3.3.3.5.23	jnxM160AtmIIOc12
.1.3.6.1.4.1.2636.1.1.3.3.12.1.111	jnxPicType1Load
.1.3.6.1.4.1.2636.1.1.3.3.3.5.26	jnxM160QuadQChT3
.1.3.6.1.4.1.2636.1.1.3.3.12.1.112	jnxPicType2Load
.1.3.6.1.4.1.2636.1.1.3.3.3.5.25	jnxM160DualQChDS3
.1.3.6.1.4.1.2636.1.1.3.3.3.5.28	jnxM160QChStm1
.1.3.6.1.4.1.2636.1.1.3.3.12.1.113	jnxPicType3Load
.1.3.6.1.4.1.2636.1.1.3.3.12.1.114	jnxPicType4Load
.1.3.6.1.4.1.2636.1.1.3.3.3.5.27	jnxM160QChOc12
.1.3.6.1.4.1.2636.1.1.3.3.3.5.20	jnxM160DenseEther8
.1.3.6.1.4.1.2636.1.1.3.3.12.1.116	jnxPicGgsnDataV1
.1.3.6.1.4.1.2636.1.1.3.3.3.5.18	jnxM160ChDs3toDs0
.1.3.6.1.4.1.2636.1.1.3.3.12.1.115	jnxPicGgsnControlV1
.1.3.6.1.4.1.2636.1.1.3.3.3.5.19	jnxM160DualChDs3toDs0
.1.3.6.1.4.1.2636.1.1.3.3.12.1.118	jnxPicGgsnPhoenix
.1.3.6.1.4.1.2636.1.1.3.3.12.1.117	jnxPicMonitoring3
.1.3.6.1.4.1.9.12	ciscoModules
.1.3.6.1.4.1.2636.1.1.3.3.12.1.119	jnxPicAdaptiveServicesFips
.1.3.6.1.4.1.2636.1.1.3.3.1.2.1	jnxM40SonetOc48
.1.3.6.1.4.1.2636.1.1.2.3.17.1	jnxTXMediaCardSpacePIC
.1.3.6.1.4.1.2636.1.1.3.3.8.6.12	jnxM40eDualAtmIIOc12
.1.3.6.1.4.1.2636.1.1.3.2.1.1	jnxModuleSCB
.1.3.6.1.4.1.2636.1.1.3.2.1.2	jnxModuleFPC
.1.3.6.1.4.1.2636.1.1.3.2.1.4.1	jnxPowerSupplyAC
.1.3.6.1.4.1.2636.1.1.3.2.1.4.2	jnxPowerSupplyDC
.1.3.6.1.4.1.2636.1.1.3.3.8.6.11	jnxM40eDualQHGE
.1.3.6.1.4.1.2636.1.1.3.3.8.6.10	jnxM40eQuadOc3
.1.3.6.1.4.1.2636.1.1.3.1	jnxBackplane
.1.3.6.1.4.1.2636.1.1.3.2.1.7	jnxModuleRoutingEngine
.1.3.6.1.4.1.2636.1.1.3.2.1.4	jnxModulePowerSupply
.1.3.6.1.4.1.2636.1.1.3.2.1.3	jnxModuleHostCtlr
.1.3.6.1.4.1.2636.1.1.3.2.1.6	jnxModuleFrontPanelDisplay
.1.3.6.1.4.1.2636.1.1.3.2.1.5	jnxModuleCooling
.1.3.6.1.4.1.2636.1.1.3.4	jnxMiscComponent
.1.3.6.1.4.1.2636.1.1.3.3	jnxSubmodule
.1.3.6.1.4.1.2636.1.1.3.2	jnxModule
.1.3.6.1.4.1.2636.1.1.2.2.10.2	jnxM7iSlotCFEB
.1.3.6.1.4.1.2636.1.1.3.2.1.2.1	jnxCommonFPC
.1.3.6.1.4.1.2636.1.1.3.2.1.2.2	jnxOc48FPC
.1.3.6.1.4.1.2636.1.1.2.2.10.3	jnxM7iSlotRE
.1.3.6.1.4.1.2636.1.1.2.2.10.1	jnxM7iSlotFPC
.1.3.6.1.4.1.2636.1.1.2.2.10.4	jnxM7iSlotPower
.1.3.6.1.4.1.2636.1.1.2.2.10.5	jnxM7iSlotFan
.1.3.6.1.4.1.2636.1.1.3.3.2.1.1	jnxM20SonetOc48
.1.3.6.1.4.1.2636.1.1.3.2.7.10	jnxT320SPMB
.1.3.6.1.4.1.2636.1.1.3.3.3.6.7	jnxM160QuadGigEther
.1.3.6.1.4.1.2636.1.1.3.3.3.6.6	jnxM160DenseEther48
.1.3.6.1.4.1.2636.1.1.3.3.3.6.5	jnxM160SonetOc48Lr
.1.3.6.1.4.1.2636.1.1.3.3.3.6.4	jnxM160QuadSonetOc12
.1.3.6.1.4.1.2636.1.1.3.3.3.6.3	jnxM160DualGigEther
.1.3.6.1.4.1.2636.1.1.3.3.5.1.1	jnxM5QuadSonetOc3
.1.3.6.1.4.1.2636.1.1.3.3.5.1.2	jnxM5SonetOc12
.1.3.6.1.4.1.2636.1.1.3.3.3.6.2	jnxM160Tunnel
.1.3.6.1.4.1.2636.1.1.3.3.3.6.1	jnxM160SonetOc48Sr
.1.3.6.1.4.1.2636.1.1.3.3.5.1.5	jnxM5QuadE3
.1.3.6.1.4.1.2636.1.1.3.3.5.1.6	jnxM5DualAtmOc3
.1.3.6.1.4.1.2636.1.1.3.3.5.1.3	jnxM5GigEther
.1.3.6.1.4.1.2636.1.1.3.3.5.1.4	jnxM5QuadT3
.1.3.6.1.4.1.2636.1.1.3.3.5.1.9	jnxM5ChOc12toDs3
.1.3.6.1.4.1.2636.1.1.3.3.5.1.7	jnxM5AtmOc12
.1.3.6.1.4.1.2636.1.1.3.3.5.1.8	jnxM5Tunnel
.1.3.6.1.4.1.2636.1.1.3.3.3.6.9	jnxM160Crypto800
.1.3.6.1.4.1.2636.1.1.2.3.7.1	jnxT320MediaCardSpacePIC
.1.3.6.1.4.1.2636.1.1.3.1.13	jnxMidplaneJ2300
.1.3.6.1.4.1.2636.1.1.3.1.14	jnxMidplaneJ4300
.1.3.6.1.4.1.2636.1.1.3.1.15	jnxMidplaneJ6300
.1.3.6.1.4.1.2636.1.1.3.1.16	jnxMidplaneIRM
.1.3.6.1.4.1.2636.1.1.3.1.17	jnxMidplaneTX
.1.3.6.1.4.1.2636.1.1.3.1.10	jnxMidplaneM7i
.1.3.6.1.4.1.2636.1.1.3.1.11	jnxMidplaneM10i
.1.3.6.1.4.1.2636.1.1.2.3.3.1	jnxM160MediaCardSpacePIC
.1.3.6.1.4.1.2636.1.1.3.3.6.3.6	jnxT640DualAtmIIOc12
.1.3.6.1.4.1.2636.1.1.3.3.6.3.7	jnxT640QuadOc3
.1.3.6.1.4.1.2636.1.1.3.3.6.3.4	jnxT640SonetOc48Sr
.1.3.6.1.4.1.2636.1.1.3.3.6.3.5	jnxT640SonetOc48Lr
.1.3.6.1.4.1.2636.1.1.1.4	jnxProductVariation
.1.3.6.1.4.1.2636.1.1.3.3.6.3.2	jnxT640QuadGigEther
.1.3.6.1.4.1.2636.1.1.3.3.6.3.3	jnxT640QuadSonetOc12
.1.3.6.1.4.1.2636.1.1.3.3.6.3.1	jnxT640DualGigEther
.1.3.6.1.4.1.2636.1.1.1.1	jnxProductLine
