.1.3.6.1.4.1.9.1.655	ciscoIPSSSM20
.1.3.6.1.4.1.9.1.591	catalyst3750G16TD
.1.3.6.1.4.1.9.1.590	cisco12006
.1.3.6.1.4.1.9.1.593	ciscoCCM
.1.3.6.1.4.1.9.1.592	ciscoIGESM
.1.3.6.1.4.1.9.1.595	ciscoCe511K9
.1.3.6.1.4.1.9.1.596	ciscoCe566K9
.1.3.6.1.4.1.9.1.598	ciscoMGX8880
.1.3.6.1.4.1.9.1.599	ciscoWsSvcWLAN1K9
.1.3.6.1.4.1.9.1.459	ciscoWlse
.1.3.6.1.4.1.9.1.650	ciscoIDS4250SX
.1.3.6.1.4.1.9.1.651	ciscoIDS4250XL
.1.3.6.1.4.1.9.1.652	ciscoIPS4255
.1.3.6.1.4.1.9.1.455	ciscoDwCE
.1.3.6.1.4.1.9.1.456	cisco7750Mrp300
.1.3.6.1.4.1.9.1.457	ciscoRPMPR
.1.3.6.1.4.1.9.1.458	cisco14MGX8830Pxm1E
.1.3.6.1.4.1.9.1.464	cisco6400UAC
.1.3.6.1.4.1.9.1.669	ciscoASA5510
.1.3.6.1.4.1.9.1.462	ciscoONS15530ETSI
.1.3.6.1.4.1.9.1.668	ciscoAs5400XM
.1.3.6.1.4.1.9.1.461	ciscoONS15530NEBS
.1.3.6.1.4.1.9.1.460	ciscoONS15530
.1.3.6.1.4.1.9.1.666	ciscoNmeXd48Es2Ge
.1.3.6.1.4.1.9.1.665	ciscoNmeXd24Es2St
.1.3.6.1.4.1.9.1.664	ciscoNmeX24Es1Ge
.1.3.6.1.4.1.9.1.662	ciscoIPSSSM10
.1.3.6.1.4.1.9.1.663	ciscoNme16Es1Ge
.1.3.6.1.4.1.9.1.661	ciscoFE6326K9
.1.3.6.1.4.1.9.1.468	cisco2620XM
.1.3.6.1.4.1.9.1.469	cisco2621XM
.1.3.6.1.4.1.9.1.466	cisco2610XM
.1.3.6.1.4.1.9.1.467	cisco2611XM
.1.3.6.1.4.1.9.1.470	cisco2650XM
.1.3.6.1.4.1.9.1.676	ciscoPIXFirewall525sc
.1.3.6.1.4.1.9.1.675	ciscoPIXFirewall535sc
.1.3.6.1.4.1.9.1.472	catalyst295024GDC
.1.3.6.1.4.1.9.1.678	ciscoPIXFirewall515sc
.1.3.6.1.4.1.9.1.677	ciscoPIXFirewall515Esc
.1.3.6.1.4.1.9.1.471	cisco2651XM
.1.3.6.1.4.1.9.1.474	ciscoAIRAP1200
.1.3.6.1.4.1.9.1.679	ciscoAs5350XM
.1.3.6.1.4.1.9.1.476	cisco7301
.1.3.6.1.4.1.9.1.475	ciscoSN5428
.1.3.6.1.4.1.9.1.573	catalyst6kGateway
.1.3.6.1.4.1.9.1.575	catalyst4000NAM
.1.3.6.1.4.1.9.1.574	catalyst375024ME
.1.3.6.1.4.1.9.1.571	cisco871
.1.3.6.1.4.1.9.1.777	ciscoOe612K9
.1.3.6.1.4.1.9.1.776	ciscoOe512K9
.1.3.6.1.4.1.9.1.570	cisco878
.1.3.6.1.4.1.9.1.770	ciscoPIXFirewall525sy
.1.3.6.1.4.1.9.1.771	ciscoPIXFirewall535sy
.1.3.6.1.4.1.9.1.576	cisco2811
.1.3.6.1.4.1.9.1.577	cisco2821
.1.3.6.1.4.1.9.1.578	cisco2851
.1.3.6.1.4.1.9.1.479	cisco3250
.1.3.6.1.4.1.9.1.670	ciscoASA5520
.1.3.6.1.4.1.9.1.671	ciscoASA5520sc
.1.3.6.1.4.1.9.1.672	ciscoASA5540
.1.3.6.1.4.1.9.1.673	ciscoASA5540sc
.1.3.6.1.4.1.9.1.674	ciscoWsSvcFwm1sc
.1.3.6.1.4.1.9.1.483	catalyst29508LRESt
.1.3.6.1.4.1.9.1.2	ciscoTerminalServer
.1.3.6.1.4.1.9.1.3	ciscoTrouter
.1.3.6.1.4.1.9.1.482	catalyst295024LRESt
.1.3.6.1.4.1.9.1.687	ciscoFe611K9
.1.3.6.1.4.1.9.1.481	ciscoONS15540ESPx
.1.3.6.1.4.1.9.1.480	catalyst295024SX
.1.3.6.1.4.1.9.1.686	ciscoDSC9120CLK9
.1.3.6.1.4.1.9.1.1	ciscoGatewayServer
.1.3.6.1.4.1.9.1.487	ciscoCDM4650
.1.3.6.1.4.1.9.1.486	ciscoCDM4630
.1.3.6.1.4.1.9.1.485	catalyst355024PWR
.1.3.6.1.4.1.9.1.484	catalyst295024LREG
.1.3.6.1.4.1.9.1.586	ciscoMCS7845H
.1.3.6.1.4.1.9.1.585	ciscoMCS7835I
.1.3.6.1.4.1.9.1.584	ciscoMCS7835H
.1.3.6.1.4.1.9.1.583	ciscoMCS7825H
.1.3.6.1.4.1.9.1.582	ciscoMCS7815I
.1.3.6.1.4.1.9.1.787	ciscoOe7326K9
.1.3.6.1.4.1.9.1.786	ciscoOe611K9
.1.3.6.1.4.1.9.1.785	ciscoOe511K9
.1.3.6.1.4.1.9.1.589	ciscoMCS7865I
.1.3.6.1.4.1.9.1.587	ciscoMCS7845I

.1.3.6.1.4.1.9.1.588	ciscoMCS7855I
.1.3.6.1.4.1.9.1.680	ciscoFe7326K9
.1.3.6.1.4.1.9.1.681	ciscoFe511K9
.1.3.6.1.4.1.9.1.9	ciscoCS500
.1.3.6.1.4.1.9.1.488	catalyst2955T12
.1.3.6.1.4.1.9.1.489	catalyst2955C12
.1.3.6.1.4.1.9.1.8	cisco7000
.1.3.6.1.4.1.9.1.684	ciscoSCE2000
.1.3.6.1.4.1.9.1.7	cisco4000
.1.3.6.1.4.1.9.1.6	cisco3000
.1.3.6.1.4.1.9.1.685	ciscoAIRAP1240
.1.3.6.1.4.1.9.1.5	ciscoIGS
.1.3.6.1.4.1.9.1.682	ciscoSCEDispatcher
.1.3.6.1.4.1.9.1.683	ciscoSCE1000
.1.3.6.1.4.1.9.1.4	ciscoProtocolTranslator
.1.3.6.1.4.1.9.1.550	cisco1701ADSLBRI
.1.3.6.1.4.1.9.1.551	catalyst2950St24LRE997
